Variable,Columns,Len,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
YEAR,1-4,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SERIAL,5-10,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NUMPREC,11-13,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
QUARTER,14,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STRATA,15-18,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSU,19-21,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NHISHID,22-35,14,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
HHWEIGHT,36-41,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PROCYEAR,42-45,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NONIVIEW,46-47,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
FAMNUMTOT,48,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
FAMACPTNO,49-50,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
REGION,51-52,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIVINGQTR,53-54,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NHISPID,55-70,16,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
HHX,71-76,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
FMX,77-78,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PX,79-80,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PERWEIGHT,81-89,9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SAMPWEIGHT,90-98,9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
FWEIGHT,99-104,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ASTATFLG,105,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
CSTATFLG,106,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PERNUM,107-108,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NHISIID,109-127,19,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
