CODE_VALUE,CODE_DESCRIPTION
2003,2003
1997,1997
1989,1989
1986,1986
1987,1987
1984,1984
1985,1985
1968,1968
1969,1969
1980,1980
1981,1981
1964,1964
1965,1965
1966,1966
1967,1967
1988,1988
1963,1963
1996,1996
2014,2014
2011,2011
2010,2010
2013,2013
2012,2012
2005,2005
1982,1982
1983,1983
1991,1991
1990,1990
1993,1993
1992,1992
1995,1995
1994,1994
1979,1979
1978,1978
1977,1977
1976,1976
1975,1975
1974,1974
1973,1973
1972,1972
1971,1971
1970,1970
2002,2002
1999,1999
2000,2000
2001,2001
2006,2006
2007,2007
2004,2004
1998,1998
2008,2008
2009,2009
